alpha,cl,cd,cm,re,mach,n_crit,xtrip1,xtrip2
-10.0,-0.9213770552284605,0.05775005489404478,-0.025046448922499503,50000.0,0.1,7.0,1.0,1.0
-9.5,-0.9094982200691369,0.05195101926001296,-0.02214107751135865,50000.0,0.1,7.0,1.0,1.0
-9.0,-0.89266597749358,0.04607620565213815,-0.018948996748322098,50000.0,0.1,7.0,1.0,1.0
-8.5,-0.8679932660387187,0.04111738391840519,-0.015763605635184016,50000.0,0.1,7.0,1.0,1.0
-8.0,-0.8319740608081456,0.03712626255813162,-0.013299652049633863,50000.0,0.1,7.0,1.0,1.0
-7.5,-0.7930872933505975,0.0336814839594605,-0.010856395300816453,50000.0,0.1,7.0,1.0,1.0
-7.0,-0.7527651452392184,0.030715983011667194,-0.00836203426006186,50000.0,0.1,7.0,1.0,1.0
-6.5,-0.7135633444922396,0.02817494347272223,-0.00554159511284215,50000.0,0.1,7.0,1.0,1.0
-6.0,-0.6759808497881122,0.026019199107103222,-0.002304155076450802,50000.0,0.1,7.0,1.0,1.0
-5.5,-0.6403687044470759,0.024237117201504624,0.0015137609567437197,50000.0,0.1,7.0,1.0,1.0
-5.0,-0.6048379057017993,0.022889965935777325,0.005756250026247851,50000.0,0.1,7.0,1.0,1.0
-4.5,-0.567926943518035,0.021916251323577135,0.010216548834466554,50000.0,0.1,7.0,1.0,1.0
-4.0,-0.5290992199466709,0.021251810688634465,0.014835521550025666,50000.0,0.1,7.0,1.0,1.0
-3.5,-0.4884302995792501,0.02087168170196875,0.019616539222182833,50000.0,0.1,7.0,1.0,1.0
-3.0,-0.4465480291824536,0.020765543624164166,0.024574473782873994,50000.0,0.1,7.0,1.0,1.0
-2.5,-0.39893711031414375,0.020933138494438584,0.028651128994632943,50000.0,0.1,7.0,1.0,1.0
-2.0,-0.3319669373234938,0.021387824048519275,0.02889343942089676,50000.0,0.1,7.0,1.0,1.0
-1.5,-0.22631641384888596,0.021907763671335165,0.02070770786973796,50000.0,0.1,7.0,1.0,1.0
-1.0,-0.09034563219492124,0.021830004503122315,0.0047145692400744005,50000.0,0.1,7.0,1.0,1.0
-0.5,0.023324477697405893,0.021122484864383756,-0.009250089879212473,50000.0,0.1,7.0,1.0,1.0
0.0,2.262640404731323e-6,0.02090512253596534,-8.19101360583477e-7,50000.0,0.1,7.0,1.0,1.0
0.5,-0.023318844382930654,0.021121094093416035,0.009248648603889902,50000.0,0.1,7.0,1.0,1.0
1.0,0.09029874539840066,0.021827835019530263,-0.00470704897849443,50000.0,0.1,7.0,1.0,1.0
1.5,0.22624571408990204,0.02190578245145056,-0.020696985274669868,50000.0,0.1,7.0,1.0,1.0
2.0,0.3319104982636015,0.02138623042867883,-0.028886281858007175,50000.0,0.1,7.0,1.0,1.0
2.5,0.3989025318035599,0.020931430011164695,-0.02864726836253843,50000.0,0.1,7.0,1.0,1.0
3.0,0.44650826971853913,0.020764118462753278,-0.024569809016934663,50000.0,0.1,7.0,1.0,1.0
3.5,0.48839078509213707,0.02087024148118066,-0.01961127491169778,50000.0,0.1,7.0,1.0,1.0
4.0,0.5290620587402689,0.021250331643011978,-0.014830114460566469,50000.0,0.1,7.0,1.0,1.0
4.5,0.567891189577965,0.021914800414717956,-0.010211339414074783,50000.0,0.1,7.0,1.0,1.0
5.0,0.6048037154150213,0.022888541884632487,-0.005751570209846685,50000.0,0.1,7.0,1.0,1.0
5.5,0.6403387455445725,0.02423561309860882,-0.001509818591629,50000.0,0.1,7.0,1.0,1.0
6.0,0.6759587483209774,0.026017526456024995,0.002306911258138764,50000.0,0.1,7.0,1.0,1.0
6.5,0.7135479245202727,0.02817333428441625,0.005543060416492635,50000.0,0.1,7.0,1.0,1.0
7.0,0.7527609252103599,0.0307144631338901,0.008361503931854117,50000.0,0.1,7.0,1.0,1.0
7.5,0.793095041609119,0.03368004562576259,0.01085376200151593,50000.0,0.1,7.0,1.0,1.0
8.0,0.8319961025820576,0.037125016096702955,0.013294533908506436,50000.0,0.1,7.0,1.0,1.0
8.5,0.868028810076238,0.041116920216959216,0.01575587206638863,50000.0,0.1,7.0,1.0,1.0
9.0,0.8927330839792736,0.04607645232751224,0.018935729252650333,50000.0,0.1,7.0,1.0,1.0
9.5,0.9095862805132855,0.05195448935032425,0.022121550025789628,50000.0,0.1,7.0,1.0,1.0
10.0,0.9214656864237899,0.05775912332657548,0.025019400542592978,50000.0,0.1,7.0,1.0,1.0
10.5,0.8821926316014008,0.06695508483042374,0.028609843715506417,50000.0,0.1,7.0,1.0,1.0
11.0,0.8270155201528334,0.0773052200424903,0.02876342731446403,50000.0,0.1,7.0,1.0,1.0
11.5,0.750203966169796,0.09897959436174221,0.014563635927561646,50000.0,0.1,7.0,1.0,1.0
12.0,0.668580667039131,0.12481088680092926,-0.002935938820771784,50000.0,0.1,7.0,1.0,1.0
12.5,0.6567029090264717,0.13803787685277438,-0.009178106131690513,50000.0,0.1,7.0,1.0,1.0
13.0,0.49033472630377417,0.1270055499605219,-0.0012206675756710412,50000.0,0.1,7.0,1.0,1.0
13.5,0.3514482340886975,0.11634641498748863,0.005611643821138935,50000.0,0.1,7.0,1.0,1.0
14.0,0.3594472598099808,0.12132857906423561,0.00407926611740132,50000.0,0.1,7.0,1.0,1.0
14.5,0.3733725360431569,0.1272980484078933,0.002715030370194158,50000.0,0.1,7.0,1.0,1.0
15.0,0.3832708883362955,0.13256203788181015,0.0010647814733640744,50000.0,0.1,7.0,1.0,1.0
