alpha,cl,cd,cm,re,mach,n_crit,xtrip1,xtrip2
-10.0,-0.9857701335893322,0.038161229321996615,-0.020701729785261618,100000.0,0.1,7.0,1.0,1.0
-9.5,-0.955193757239905,0.03438190717738263,-0.017825389226131368,100000.0,0.1,7.0,1.0,1.0
-9.0,-0.9177313398084734,0.031382586259701764,-0.015541025314761753,100000.0,0.1,7.0,1.0,1.0
-8.5,-0.8775261291939703,0.028758128012606955,-0.01343971069209087,100000.0,0.1,7.0,1.0,1.0
-8.0,-0.8372041490358733,0.026434275268498487,-0.011138904784444303,100000.0,0.1,7.0,1.0,1.0
-7.5,-0.7977714146790583,0.02434770368385169,-0.00861337884897057,100000.0,0.1,7.0,1.0,1.0
-7.0,-0.7594452221516961,0.022483171865606975,-0.005773757799652514,100000.0,0.1,7.0,1.0,1.0
-6.5,-0.7225137454770153,0.02077008696808831,-0.002670399468072654,100000.0,0.1,7.0,1.0,1.0
-6.0,-0.6861352714669476,0.019207290012789844,0.0005478670183064365,100000.0,0.1,7.0,1.0,1.0
-5.5,-0.6492325973433992,0.01784183545366158,0.003703506244575954,100000.0,0.1,7.0,1.0,1.0
-5.0,-0.6115693846983824,0.016718748334958386,0.006820223821216476,100000.0,0.1,7.0,1.0,1.0
-4.5,-0.5725474576947561,0.01584138034141778,0.009864235615747407,100000.0,0.1,7.0,1.0,1.0
-4.0,-0.5321736039098256,0.01516195157715535,0.012817545058140145,100000.0,0.1,7.0,1.0,1.0
-3.5,-0.4906703696599872,0.01464245773168592,0.015693041398631202,100000.0,0.1,7.0,1.0,1.0
-3.0,-0.4482943476557504,0.014271971927129937,0.01851661291120862,100000.0,0.1,7.0,1.0,1.0
-2.5,-0.4053822199254602,0.014064901905516064,0.021366774001900013,100000.0,0.1,7.0,1.0,1.0
-2.0,-0.36248144345942906,0.014054390564112106,0.024304879369088886,100000.0,0.1,7.0,1.0,1.0
-1.5,-0.3140284731267283,0.014290615131295314,0.02622773220392737,100000.0,0.1,7.0,1.0,1.0
-1.0,-0.22097530541112792,0.014782944321728709,0.01979097295406589,100000.0,0.1,7.0,1.0,1.0
-0.5,-0.11756289859349885,0.0152118007769257,0.011344804670669215,100000.0,0.1,7.0,1.0,1.0
0.0,-1.0832846595417709e-5,0.015399109380583146,1.154161386393507e-6,100000.0,0.1,7.0,1.0,1.0
0.5,0.11754275645422367,0.015211541305389986,-0.01134295443919586,100000.0,0.1,7.0,1.0,1.0
1.0,0.22096050764396535,0.014782308959716191,-0.019790344523382807,100000.0,0.1,7.0,1.0,1.0
1.5,0.31401892068274806,0.014289504414854869,-0.026228735254309618,100000.0,0.1,7.0,1.0,1.0
2.0,0.3624347116321475,0.014053265181662146,-0.024298880160204733,100000.0,0.1,7.0,1.0,1.0
2.5,0.405332906532023,0.014063701113236024,-0.021359943671619037,100000.0,0.1,7.0,1.0,1.0
3.0,0.448242230018191,0.014270738863408579,-0.018509262911804145,100000.0,0.1,7.0,1.0,1.0
3.5,0.49061814909370793,0.014641270201499983,-0.015685210077021325,100000.0,0.1,7.0,1.0,1.0
4.0,0.532123225401408,0.015160680222561,-0.012809966389952165,100000.0,0.1,7.0,1.0,1.0
4.5,0.5724991641625653,0.015840156492702925,-0.009856789874948677,100000.0,0.1,7.0,1.0,1.0
5.0,0.6115243761862778,0.016717519091863968,-0.006813263639052286,100000.0,0.1,7.0,1.0,1.0
5.5,0.649196214253613,0.01784027729209702,-0.0036978438344722297,100000.0,0.1,7.0,1.0,1.0
6.0,0.6861019604212278,0.019205901463117236,-0.0005430114695094701,100000.0,0.1,7.0,1.0,1.0
6.5,0.7224888593547736,0.020768658311191655,0.002673719339909128,100000.0,0.1,7.0,1.0,1.0
7.0,0.7594328196417429,0.02248176791291012,0.005774715648943526,100000.0,0.1,7.0,1.0,1.0
7.5,0.7977740865392081,0.024346381808675484,0.0086115501908631,100000.0,0.1,7.0,1.0,1.0
8.0,0.8372225535051301,0.026433098633595397,0.011134119453811122,100000.0,0.1,7.0,1.0,1.0
8.5,0.877561237932854,0.02875709348635721,0.013431753056288062,100000.0,0.1,7.0,1.0,1.0
9.0,0.9177857756612722,0.031381899284608966,0.015529529812002934,100000.0,0.1,7.0,1.0,1.0
9.5,0.9552726398379809,0.03438131884911135,0.017809479222353642,100000.0,0.1,7.0,1.0,1.0
10.0,0.98588168450231,0.038161617673521206,0.02068024767666241,100000.0,0.1,7.0,1.0,1.0
10.5,1.0093323095563138,0.04252603058958585,0.02379814003492376,100000.0,0.1,7.0,1.0,1.0
11.0,1.0251084877731955,0.04674924166579305,0.027183817079682145,100000.0,0.1,7.0,1.0,1.0
11.5,1.0201031417745299,0.05250454721112977,0.0314078817180836,100000.0,0.1,7.0,1.0,1.0
12.0,0.9799931380628724,0.059698859376860175,0.03602729558259096,100000.0,0.1,7.0,1.0,1.0
12.5,0.9281797196078517,0.07003178721646186,0.033784666878850914,100000.0,0.1,7.0,1.0,1.0
13.0,0.8662355715030922,0.08592792289114143,0.023479240035791306,100000.0,0.1,7.0,1.0,1.0
13.5,0.7934309904352496,0.10583718783469709,0.0057596953290622276,100000.0,0.1,7.0,1.0,1.0
14.0,0.7075768664642914,0.1251093463485235,-0.017427926414386063,100000.0,0.1,7.0,1.0,1.0
14.5,0.6064840896501855,0.1390941627340152,-0.044137584367603316,100000.0,0.1,7.0,1.0,1.0
15.0,0.4879635500528995,0.14314140129256692,-0.07242323770363929,100000.0,0.1,7.0,1.0,1.0
