alpha,cl,cd,cm,re,mach,n_crit,xtrip1,xtrip2
-180.0,0.0,0.03495410597623265,0.0,200000.0,0.1,7.0,1.0,1.0
-178.92857142857144,0.04022847550442764,0.035472451218311614,0.07065743892998186,200000.0,0.1,7.0,1.0,1.0
-177.85714285714286,0.08045695100885622,0.037026800036550275,0.13745946682589857,200000.0,0.1,7.0,1.0,1.0
-176.78571428571428,0.12068542651328386,0.03961494447980659,0.19925381367816955,200000.0,0.1,7.0,1.0,1.0
-175.71428571428572,0.16091390201771147,0.04323323275395099,0.2548882094772146,200000.0,0.1,7.0,1.0,1.0
-174.64285714285714,0.20114237752214006,0.047876559515205024,0.30321038421345786,200000.0,0.1,7.0,1.0,1.0
-173.57142857142858,0.24137085302656772,0.05353837302610547,0.34306806787731814,200000.0,0.1,7.0,1.0,1.0
-172.5,0.28159932853099534,0.06021068433885258,0.3733089904592189,200000.0,0.1,7.0,1.0,1.0
-171.42857142857142,0.32182780403542394,0.06788407849318942,0.39278088194958005,200000.0,0.1,7.0,1.0,1.0
-170.35714285714286,0.3620562795398516,0.07654772771314307,0.40033147233882294,200000.0,0.1,7.0,1.0,1.0
-169.28571428571428,0.40228475504428013,0.08618940658416302,0.39602075267322245,200000.0,0.1,7.0,1.0,1.0
-168.2142857142857,0.4425132305487078,0.09679550918941357,0.38406004902982827,200000.0,0.1,7.0,1.0,1.0
-167.14285714285714,0.48274170605313543,0.10835106818124632,0.36661850169185084,200000.0,0.1,7.0,1.0,1.0
-166.07142857142856,0.5229701815575639,0.12083977576115945,0.34561913558473994,200000.0,0.1,7.0,1.0,1.0
-165.0,0.5631986570619917,0.13424400653888727,0.32298497563394735,200000.0,0.1,7.0,1.0,1.0
-159.64285714285714,0.553218561571825,0.21429215219479306,0.2520572641473176,200000.0,0.1,7.0,1.0,1.0
-154.28571428571428,0.5665196436982888,0.3138751965388271,0.24909344904448563,200000.0,0.1,7.0,1.0,1.0
-148.92857142857142,0.582732176275248,0.4294875661804489,0.25748350138418374,200000.0,0.1,7.0,1.0,1.0
-143.57142857142856,0.5926131927827519,0.557057603325681,0.27255175863813097,200000.0,0.1,7.0,1.0,1.0
-138.21428571428572,0.591297575074582,0.6920898871198765,0.2903553537534436,200000.0,0.1,7.0,1.0,1.0
-132.85714285714286,0.5761753895068759,0.8298223900642903,0.3096589966397761,200000.0,0.1,7.0,1.0,1.0
-127.50000000000001,0.5460754382443506,0.965392986305676,0.3282738407395744,200000.0,0.1,7.0,1.0,1.0
-122.14285714285714,0.5008938595687726,1.094009502035943,0.3458281187026664,200000.0,0.1,7.0,1.0,1.0
-116.78571428571428,0.44139067195467724,1.2111173742818908,0.3615860368376808,200000.0,0.1,7.0,1.0,1.0
-111.42857142857143,0.3690511027471508,1.3125590673392735,0.37303727818251,200000.0,0.1,7.0,1.0,1.0
-106.07142857142857,0.285969537092933,1.3947196831213917,0.3810791650129153,200000.0,0.1,7.0,1.0,1.0
-100.71428571428572,0.194738248058026,1.4546536827459549,0.38391265539159913,200000.0,0.1,7.0,1.0,1.0
-95.35714285714285,0.09833388575369158,1.4901882950050171,0.38169134299168594,200000.0,0.1,7.0,1.0,1.0
-90.0,6.429395695523604e-17,1.5,0.3746120263577471,200000.0,0.1,7.0,1.0,1.0
-84.64285714285715,-0.09833388575369158,1.4901882950050171,0.36366138500759954,200000.0,0.1,7.0,1.0,1.0
-79.28571428571428,-0.194738248058026,1.4546536827459549,0.34808576938904323,200000.0,0.1,7.0,1.0,1.0
-73.92857142857143,-0.285969537092933,1.3947196831213917,0.3282839131818954,200000.0,0.1,7.0,1.0,1.0
-68.57142857142857,-0.3690511027471508,1.3125590673392735,0.3042974353093126,200000.0,0.1,7.0,1.0,1.0
-63.21428571428571,-0.44139067195467746,1.2111173742818904,0.2780842717627859,200000.0,0.1,7.0,1.0,1.0
-57.857142857142854,-0.5008938595687726,1.094009502035943,0.2492401526383041,200000.0,0.1,7.0,1.0,1.0
-52.5,-0.5460754382443505,0.9653929863056763,0.2196378406161002,200000.0,0.1,7.0,1.0,1.0
-47.142857142857146,-0.5761753895068759,0.8298223900642903,0.18990630120360769,200000.0,0.1,7.0,1.0,1.0
-41.785714285714285,-0.591297575074582,0.6920898871198765,0.16011580297258793,200000.0,0.1,7.0,1.0,1.0
-36.42857142857142,-0.5926131927827519,0.5570576033256807,0.13098446364699376,200000.0,0.1,7.0,1.0,1.0
-31.071428571428573,-0.5827321762752479,0.42948756618044875,0.1027465961983675,200000.0,0.1,7.0,1.0,1.0
-25.714285714285715,-0.5665196436982888,0.3138751965388271,0.07377780556873058,200000.0,0.1,7.0,1.0,1.0
-20.357142857142854,-0.5532185615718249,0.21429215219479278,0.04440144020918317,200000.0,0.1,7.0,1.0,1.0
-14.999999999999998,-0.5631986570619912,0.13424400653888713,0.010279765536286801,200000.0,0.1,7.0,1.0,1.0
-14.64285714285714,-0.5945054489230728,0.12657186756765085,0.007903350287170237,200000.0,0.1,7.0,1.0,1.0
-14.285714285714285,-0.625812240784154,0.11889972859641462,0.005557929060512461,200000.0,0.1,7.0,1.0,1.0
-13.928571428571429,-0.6571190326452354,0.11122758962517837,0.0032512797021787944,200000.0,0.1,7.0,1.0,1.0
-13.571428571428571,-0.6884258245063168,0.10355545065394212,0.0009911800580345515,200000.0,0.1,7.0,1.0,1.0
