alpha,cl,cd,cm,re,mach,n_crit,xtrip1,xtrip2
-10.0,-1.0034596482370954,0.026904352280900143,-0.01805663840883029,200000.0,0.1,7.0,1.0,1.0
-9.5,-0.9674240652855046,0.02501293087875177,-0.015549400520617282,200000.0,0.1,7.0,1.0,1.0
-9.0,-0.9306485234951033,0.02314633379075527,-0.012928159524865274,200000.0,0.1,7.0,1.0,1.0
-8.5,-0.8930742973773795,0.021481546620802153,-0.010214979171368125,200000.0,0.1,7.0,1.0,1.0
-8.0,-0.8549378466518736,0.020004658806919706,-0.007412091722283435,200000.0,0.1,7.0,1.0,1.0
-7.5,-0.8171934249548489,0.018622614813520167,-0.004426253341437148,200000.0,0.1,7.0,1.0,1.0
-7.0,-0.7787886555158445,0.01741431291629976,-0.0014241046155818505,200000.0,0.1,7.0,1.0,1.0
-6.5,-0.7404092854614438,0.01624604038787276,0.0015577692600460586,200000.0,0.1,7.0,1.0,1.0
-6.0,-0.7010718872119704,0.01520011571431747,0.0044131425133345555,200000.0,0.1,7.0,1.0,1.0
-5.5,-0.6610974437434785,0.014250041280352295,0.0071253295063435,200000.0,0.1,7.0,1.0,1.0
-5.0,-0.6202510932771116,0.013404328547704198,0.009629431730212063,200000.0,0.1,7.0,1.0,1.0
-4.5,-0.5788202209713049,0.012673155758420885,0.012003832980255986,200000.0,0.1,7.0,1.0,1.0
-4.0,-0.5359317364540053,0.012094258545385869,0.014105875086560301,200000.0,0.1,7.0,1.0,1.0
-3.5,-0.48775219180990487,0.011640326249795496,0.0151237331127065,200000.0,0.1,7.0,1.0,1.0
-3.0,-0.408431071033497,0.011156268490229007,0.009920544609242212,200000.0,0.1,7.0,1.0,1.0
-2.5,-0.33026200033048064,0.01072644115210737,0.0052883401106992665,200000.0,0.1,7.0,1.0,1.0
-2.0,-0.25362435580201215,0.010313263442924039,0.0013271448418572113,200000.0,0.1,7.0,1.0,1.0
-1.5,-0.1826719745036882,0.009944524620658136,-0.001042011618454992,200000.0,0.1,7.0,1.0,1.0
-1.0,-0.1174285742190948,0.009645564484251423,-0.001847770148283534,200000.0,0.1,7.0,1.0,1.0
-0.5,-0.05751323802137754,0.009449789377458504,-0.001279200964115195,200000.0,0.1,7.0,1.0,1.0
0.0,-4.888618960405829e-6,0.009380223940022709,-8.617401348710728e-8,200000.0,0.1,7.0,1.0,1.0
0.5,0.057502554075622166,0.009449738956527632,0.0012792279880401104,200000.0,0.1,7.0,1.0,1.0
1.0,0.11741581417363776,0.009645447760548466,0.0018483159653244225,200000.0,0.1,7.0,1.0,1.0
1.5,0.18265695933328244,0.009944316418282998,0.0010431023504723017,200000.0,0.1,7.0,1.0,1.0
2.0,0.25360145574483584,0.010312899526074568,-0.0013244161012807044,200000.0,0.1,7.0,1.0,1.0
2.5,0.33025113294624475,0.010725897822381522,-0.005288201871919114,200000.0,0.1,7.0,1.0,1.0
3.0,0.40842022912863396,0.011155430350385574,-0.009920688982631869,200000.0,0.1,7.0,1.0,1.0
3.5,0.4877516802547218,0.011639152410712403,-0.01512642445706924,200000.0,0.1,7.0,1.0,1.0
4.0,0.535872963118578,0.01209293414343779,-0.0140965122189395,200000.0,0.1,7.0,1.0,1.0
4.5,0.5787644797730798,0.012671773704977922,-0.011994796141665489,200000.0,0.1,7.0,1.0,1.0
5.0,0.6203868773902774,0.013398464051630747,-0.009655882990413475,200000.0,0.1,7.0,1.0,1.0
5.5,0.6610471266392394,0.014248847182553833,-0.007117205401528699,200000.0,0.1,7.0,1.0,1.0
6.0,0.7010279846220784,0.015198852515387978,-0.004406085363894391,200000.0,0.1,7.0,1.0,1.0
6.5,0.7403733761118226,0.01624474372353222,-0.0015521283382528847,200000.0,0.1,7.0,1.0,1.0
7.0,0.7787631638459627,0.01741285957814987,0.0014279447314809797,200000.0,0.1,7.0,1.0,1.0
7.5,0.817179432953056,0.018621317279426727,0.004427770350519884,200000.0,0.1,7.0,1.0,1.0
8.0,0.8549429553250653,0.020003472321079015,0.007409747913013242,200000.0,0.1,7.0,1.0,1.0
8.5,0.8931029696826731,0.02148043620390433,0.01020804339592203,200000.0,0.1,7.0,1.0,1.0
9.0,0.9307040718326298,0.023145380477332743,0.012916088981694452,200000.0,0.1,7.0,1.0,1.0
9.5,0.9675108998998133,0.025012123127472138,0.0155316088371347,200000.0,0.1,7.0,1.0,1.0
10.0,1.0035817695087712,0.02690437102714827,0.01803171593270663,200000.0,0.1,7.0,1.0,1.0
10.5,1.0371963864636444,0.029302687841763646,0.020819867266708134,200000.0,0.1,7.0,1.0,1.0
11.0,1.0696421325187717,0.031798495892499515,0.02326138869974699,200000.0,0.1,7.0,1.0,1.0
11.5,1.091083234691124,0.0346511637711019,0.02693343440566099,200000.0,0.1,7.0,1.0,1.0
12.0,1.1092182142846505,0.03735021694738977,0.030608252767176707,200000.0,0.1,7.0,1.0,1.0
12.5,1.1130394247217537,0.04151808997357073,0.03454799256567214,200000.0,0.1,7.0,1.0,1.0
13.0,1.100939037417626,0.04706206635561955,0.037281025123512196,200000.0,0.1,7.0,1.0,1.0
13.5,1.0813839764096862,0.054170917498665316,0.03705715827281253,200000.0,0.1,7.0,1.0,1.0
14.0,1.0533098617999062,0.06361821114444997,0.033240965082794824,200000.0,0.1,7.0,1.0,1.0
14.5,0.9998508924085928,0.07900814985222558,0.023496336926346898,200000.0,0.1,7.0,1.0,1.0
15.0,0.7795398973181054,0.13841336026954626,-0.013068051956878317,200000.0,0.1,7.0,1.0,1.0
