alpha,cl,cd,cm,re,mach,n_crit,xtrip1,xtrip2
-10.0,-0.3569494613764688,0.11174032565460973,-0.04254780619781722,50000.0,0.0,5.0,1.0,1.0
-9.75,-0.35949667272501296,0.1084119749297138,-0.04307536852288288,50000.0,0.0,5.0,1.0,1.0
-9.5,-0.3638067147626283,0.10501565802870697,-0.043540179112245676,50000.0,0.0,5.0,1.0,1.0
-9.25,-0.3711031563339356,0.10142779326826314,-0.04406069798902489,50000.0,0.0,5.0,1.0,1.0
-9.0,-0.39097127811860327,0.09672672811522885,-0.045590541310852536,50000.0,0.0,5.0,1.0,1.0
-8.75,-0.3985642206503383,0.0937346941420455,-0.044941070055051234,50000.0,0.0,5.0,1.0,1.0
-8.5,-0.410135744188321,0.09083472091490385,-0.04398220112355864,50000.0,0.0,5.0,1.0,1.0
-8.25,-0.4257164215172627,0.08802857351761496,-0.04271579852267851,50000.0,0.0,5.0,1.0,1.0
-8.0,-0.4405918826814561,0.08463609907417545,-0.04251136036678739,50000.0,0.0,5.0,1.0,1.0
-7.75,-0.45470703352023917,0.08061119910045836,-0.04318590521851283,50000.0,0.0,5.0,1.0,1.0
-7.5,-0.46862902330581163,0.07589949467672087,-0.0445650552550012,50000.0,0.0,5.0,1.0,1.0
-7.25,-0.48137188627417576,0.07042842709863763,-0.04648728444185556,50000.0,0.0,5.0,1.0,1.0
-7.0,-0.4926090888798581,0.06402634026863539,-0.0490410888465476,50000.0,0.0,5.0,1.0,1.0
-6.75,-0.4886014020228197,0.05834261975404344,-0.053210242017728775,50000.0,0.0,5.0,1.0,1.0
-6.5,-0.48958797948308397,0.055446026610783225,-0.05094131478674442,50000.0,0.0,5.0,1.0,1.0
-6.25,-0.48155287163159066,0.051376648110499586,-0.0518805650081204,50000.0,0.0,5.0,1.0,1.0
-6.0,-0.46616411740821523,0.046258141497971576,-0.054356447621300714,50000.0,0.0,5.0,1.0,1.0
-5.75,-0.4331019578869451,0.04296428568092597,-0.05825626383394388,50000.0,0.0,5.0,1.0,1.0
-5.5,-0.39863213261816244,0.039023711349638675,-0.062183824052687006,50000.0,0.0,5.0,1.0,1.0
-5.25,-0.3639709444961526,0.03752454105082306,-0.06467103176492564,50000.0,0.0,5.0,1.0,1.0
-5.0,-0.3278862359667617,0.03567049395507332,-0.0674451079435914,50000.0,0.0,5.0,1.0,1.0
-4.75,-0.2924545330460419,0.03395014258512801,-0.06977879401544981,50000.0,0.0,5.0,1.0,1.0
-4.5,-0.25589067699333257,0.032711425794051056,-0.07212735055129224,50000.0,0.0,5.0,1.0,1.0
-4.25,-0.22052892444087202,0.03164485603979118,-0.07408955533910562,50000.0,0.0,5.0,1.0,1.0
-4.0,-0.18522305839968975,0.030764842221241484,-0.07594987970538927,50000.0,0.0,5.0,1.0,1.0
-3.75,-0.14918394115608302,0.02999025888535188,-0.07785944901442825,50000.0,0.0,5.0,1.0,1.0
-3.5,-0.11261933775816871,0.02925759477259906,-0.07974561832479037,50000.0,0.0,5.0,1.0,1.0
-3.25,-0.07926856008131572,0.0286853933524033,-0.08105331568141898,50000.0,0.0,5.0,1.0,1.0
-3.0,-0.04545296272990781,0.02815002339208276,-0.08235396914839939,50000.0,0.0,5.0,1.0,1.0
-2.75,-0.011108300208415575,0.02767213306737143,-0.08371622091577949,50000.0,0.0,5.0,1.0,1.0
-2.5,0.023609381543653545,0.027230975036774432,-0.0851354064383482,50000.0,0.0,5.0,1.0,1.0
-2.25,0.058086903520321774,0.026805731657025298,-0.08648760966458827,50000.0,0.0,5.0,1.0,1.0
-2.0,0.09216519255088759,0.026382005662984452,-0.08775225463844773,50000.0,0.0,5.0,1.0,1.0
-1.75,0.12564725817310676,0.025919398176507256,-0.08889719898341458,50000.0,0.0,5.0,1.0,1.0
-1.5,0.1582477358402174,0.02541096739916122,-0.0898451343145607,50000.0,0.0,5.0,1.0,1.0
-1.25,0.18878245187601114,0.024817944503315887,-0.0902708726742479,50000.0,0.0,5.0,1.0,1.0
-1.0,0.2145897750868758,0.024095385882157355,-0.08926730321902994,50000.0,0.0,5.0,1.0,1.0
