alpha,cl,cd,cm,re,mach,n_crit,xtrip1,xtrip2
-10.0,-0.3893716643663451,0.0978429209475166,-0.04708974433272586,100000.0,0.0,5.0,1.0,1.0
-9.75,-0.4030016282626118,0.09277082992318342,-0.048416764660026194,100000.0,0.0,5.0,1.0,1.0
-9.5,-0.4166201092373224,0.08803437207774825,-0.050265434132779674,100000.0,0.0,5.0,1.0,1.0
-9.25,-0.42089231552739154,0.08620875991978352,-0.04793318128720288,100000.0,0.0,5.0,1.0,1.0
-9.0,-0.4599123393667063,0.0795972239283936,-0.048488977926292746,100000.0,0.0,5.0,1.0,1.0
-8.75,-0.48748369558350807,0.07622307779862851,-0.04679063218803486,100000.0,0.0,5.0,1.0,1.0
-8.5,-0.5165726831219531,0.07051059413618668,-0.04828038532476438,100000.0,0.0,5.0,1.0,1.0
-8.25,-0.5620206793648803,0.04923819918598778,-0.06587794065985987,100000.0,0.0,5.0,1.0,1.0
-8.0,-0.5495448260010778,0.04114249721637997,-0.07230114648927759,100000.0,0.0,5.0,1.0,1.0
-7.75,-0.5220005387137059,0.03915074385379506,-0.07456968092265431,100000.0,0.0,5.0,1.0,1.0
-7.5,-0.49639918862397076,0.03564962612057838,-0.07736624199022624,100000.0,0.0,5.0,1.0,1.0
-7.25,-0.46819008126595846,0.03293397170934184,-0.07956678616733825,100000.0,0.0,5.0,1.0,1.0
-7.0,-0.43774002263126155,0.031266537853556486,-0.08130050028262072,100000.0,0.0,5.0,1.0,1.0
-6.75,-0.4075025072190283,0.02897687671896455,-0.08294488111408659,100000.0,0.0,5.0,1.0,1.0
-6.5,-0.3757448531570697,0.028112555351572463,-0.08443508641384712,100000.0,0.0,5.0,1.0,1.0
-6.25,-0.3439870328754421,0.026605580256404218,-0.08578819654557299,100000.0,0.0,5.0,1.0,1.0
-6.0,-0.3120113238891094,0.025709969858289796,-0.08709780574735371,100000.0,0.0,5.0,1.0,1.0
-5.75,-0.27955536400853054,0.024685546451744197,-0.08834429360611354,100000.0,0.0,5.0,1.0,1.0
-5.5,-0.24683289653443757,0.02391935759961135,-0.08962296582892855,100000.0,0.0,5.0,1.0,1.0
-5.25,-0.21350586887026068,0.023097480665872392,-0.09092625647730988,100000.0,0.0,5.0,1.0,1.0
-5.0,-0.1783853228516125,0.022348452099312962,-0.09251785661321324,100000.0,0.0,5.0,1.0,1.0
-4.75,-0.14451889688338898,0.02164740382700623,-0.09378498844827361,100000.0,0.0,5.0,1.0,1.0
-4.5,-0.11290753825332309,0.021052783827919176,-0.09458479564940431,100000.0,0.0,5.0,1.0,1.0
-4.25,-0.0816436487488937,0.020491631420079585,-0.09528949857683315,100000.0,0.0,5.0,1.0,1.0
-4.0,-0.05058700797348039,0.019973387660626406,-0.09593638833720572,100000.0,0.0,5.0,1.0,1.0
-3.75,-0.01951973263471957,0.019489402529393303,-0.09654819372669567,100000.0,0.0,5.0,1.0,1.0
-3.5,0.011917858516350903,0.019029573650503482,-0.09716591520111176,100000.0,0.0,5.0,1.0,1.0
-3.25,0.04440230892911947,0.018565019500106087,-0.09800370493698263,100000.0,0.0,5.0,1.0,1.0
-3.0,0.074034468721494,0.018179585955665097,-0.09826016323542382,100000.0,0.0,5.0,1.0,1.0
-2.75,0.10326300290556918,0.017828021828061577,-0.09842294980031037,100000.0,0.0,5.0,1.0,1.0
-2.5,0.13245650037188833,0.01749425365739758,-0.09856484760286072,100000.0,0.0,5.0,1.0,1.0
-2.25,0.16164571436537534,0.01717369719520632,-0.09868742972210882,100000.0,0.0,5.0,1.0,1.0
-2.0,0.19084863233939478,0.016871845622477753,-0.09879068351215353,100000.0,0.0,5.0,1.0,1.0
-1.75,0.21996546542296527,0.01655850908159667,-0.09887064616341795,100000.0,0.0,5.0,1.0,1.0
-1.5,0.24904687417752333,0.016241237367857125,-0.09892900965977733,100000.0,0.0,5.0,1.0,1.0
-1.25,0.27801087713484735,0.015898873135260744,-0.09897021412989322,100000.0,0.0,5.0,1.0,1.0
-1.0,0.30604531903547577,0.015484751050071183,-0.09881661129196899,100000.0,0.0,5.0,1.0,1.0
-0.75,0.33253469045319195,0.014975028137259181,-0.09820812876802267,100000.0,0.0,5.0,1.0,1.0
-0.5,0.3557452127051398,0.014436687850693766,-0.09637670952523598,100000.0,0.0,5.0,1.0,1.0
-0.25,0.3953222934085462,0.013992017983402752,-0.09732810456965349,100000.0,0.0,5.0,1.0,1.0
0.0,0.43676300408997704,0.013916320788252175,-0.09992140560923247,100000.0,0.0,5.0,1.0,1.0
0.25,0.46425558318242627,0.013951169024868457,-0.09966522877816578,100000.0,0.0,5.0,1.0,1.0
0.5,0.49161543005911346,0.014004605581301751,-0.0993858273397479,100000.0,0.0,5.0,1.0,1.0
0.75,0.5188363981515335,0.014074398806424311,-0.09908069617362408,100000.0,0.0,5.0,1.0,1.0
1.0,0.5459299498796057,0.014163693362807468,-0.09876197935983883,100000.0,0.0,5.0,1.0,1.0
1.25,0.5728566027691548,0.014269773483909207,-0.09841954650957853,100000.0,0.0,5.0,1.0,1.0
1.5,0.599633308825769,0.014392824231875418,-0.09805968183848937,100000.0,0.0,5.0,1.0,1.0
1.75,0.6262577305535504,0.014532557845994906,-0.09768389242089906,100000.0,0.0,5.0,1.0,1.0
2.0,0.6527545282720303,0.01468762042109798,-0.09729591588841012,100000.0,0.0,5.0,1.0,1.0
2.25,0.67915547333544,0.01485732749155011,-0.09690233078176003,100000.0,0.0,5.0,1.0,1.0
2.5,0.7054848401620497,0.015040124402009903,-0.09650449248019136,100000.0,0.0,5.0,1.0,1.0
2.75,0.7317918437714673,0.015234409517394031,-0.09610877036716295,100000.0,0.0,5.0,1.0,1.0
3.0,0.7581373413790516,0.015438583064183175,-0.09572290370799895,100000.0,0.0,5.0,1.0,1.0
3.25,0.7845721750077531,0.015649803536295442,-0.09534874141479717,100000.0,0.0,5.0,1.0,1.0
