alpha,cl,cd,cm,re,mach,n_crit,xtrip1,xtrip2
-10.0,-0.35651105055815424,0.12805862502259782,-0.035429595202809305,20000.0,0.0,5.0,1.0,1.0
-9.75,-0.3612383175766846,0.12472478069940539,-0.03677520040589403,20000.0,0.0,5.0,1.0,1.0
-9.5,-0.35528829837112913,0.12105459198767525,-0.036815359606972936,20000.0,0.0,5.0,1.0,1.0
-9.25,-0.36638103297360364,0.11806174065344614,-0.038069600081098574,20000.0,0.0,5.0,1.0,1.0
-9.0,-0.36328494751279083,0.11469997396199179,-0.03783110108478936,20000.0,0.0,5.0,1.0,1.0
-8.75,-0.3665239343896843,0.11167823803504971,-0.03773300688391863,20000.0,0.0,5.0,1.0,1.0
-8.5,-0.3727217390495668,0.10880551436271274,-0.0375117018182014,20000.0,0.0,5.0,1.0,1.0
-8.25,-0.3812596077102988,0.10602387509813747,-0.03712597465997306,20000.0,0.0,5.0,1.0,1.0
-8.0,-0.3909347016844067,0.10316420461976988,-0.03688102624697177,20000.0,0.0,5.0,1.0,1.0
-7.75,-0.3992799939580511,0.10000262890972555,-0.03718409704092135,20000.0,0.0,5.0,1.0,1.0
-7.5,-0.408201334959037,0.09671517657641442,-0.037637770567461135,20000.0,0.0,5.0,1.0,1.0
-7.25,-0.4175612000855573,0.09324372869985467,-0.03829162523174058,20000.0,0.0,5.0,1.0,1.0
-7.0,-0.4264694571249388,0.08958676246948818,-0.03910842653965525,20000.0,0.0,5.0,1.0,1.0
-6.75,-0.4315156850160626,0.08602562851655653,-0.039507195426281276,20000.0,0.0,5.0,1.0,1.0
-6.5,-0.431163230547508,0.08293534331976388,-0.03898146607842432,20000.0,0.0,5.0,1.0,1.0
-6.25,-0.4308255557781444,0.07975143847873922,-0.038826545296945826,20000.0,0.0,5.0,1.0,1.0
-6.0,-0.43028828748330555,0.07625923873902102,-0.039343053468861515,20000.0,0.0,5.0,1.0,1.0
